epoch,Acc,Loss,Error,LR,model
16,0.8594,0.3183,,0.0005,resnet-32
17,0.8652,0.3088,,0.0005,resnet-32
18,0.861,0.3165,,0.0005,resnet-32
19,0.862,0.313,,0.0005,resnet-32
20,0.8632,0.3148,,0.0005,resnet-32
21,0.8623,0.32,,0.0005,resnet-32
22,0.8612,0.3193,,0.0005,resnet-32
23,0.8622,0.3156,,0.0005,resnet-32
0,0.6942,0.5729,,0.00001,resnet-32
1,0.7881,0.4505,,0.00001,resnet-32
2,0.8027,0.4226,,0.00001,resnet-32
3,0.8261,0.3881,,0.00001,resnet-32
4,0.8346,0.3747,,0.00001,resnet-32
5,0.8327,0.3707,,0.00001,resnet-32
6,0.8411,0.3611,,0.00001,resnet-32
7,0.8418,0.3575,,0.00001,resnet-32
8,0.8543,0.3331,,0.00001,resnet-32
9,0.8498,0.3403,,0.00001,resnet-32
10,0.854,0.3355,,0.00001,resnet-32
11,0.8564,0.3275,,0.00001,resnet-32
12,0.8582,0.3231,,0.00001,resnet-32
13,0.8564,0.3246,,0.00001,resnet-32
14,0.8582,0.3232,,0.00001,resnet-32
15,0.8548,0.3286,,0.00001,resnet-32
16,0.854,0.3343,,0.00001,resnet-32
17,0.86,0.3206,,0.00001,resnet-32
18,0.859,0.3223,,0.00001,resnet-32
19,0.8588,0.3243,,0.00001,resnet-32
20,0.8611,0.317,,0.00001,resnet-32
21,0.8551,0.3293,,0.00001,resnet-32
22,0.8597,0.3173,,0.00001,resnet-32
23,0.8604,0.3206,,0.00001,resnet-32
0,0.5468,0.6879,,0.00001,resnet-152
1,0.6187,0.6546,,0.00001,resnet-152
2,0.6548,0.6326,,0.00001,resnet-152
3,0.6859,0.6138,,0.00001,resnet-152
